family,family_label,method,method_label,configuration,fitness_cv,recall_cv,recall_test,f1_test,roc_auc_test,true_negatives,false_positives,false_negatives,true_positives,origin,selection_status,observation
logistic_regression,Regressão Logística,baseline,Baseline,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 1000, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",0.9581524474852176,0.9529411764705882,0.9285714285714286,0.9512195121951219,0.996031746031746,71,1,3,39,baseline_cv,evaluated_baseline,Referência original recalculada no protocolo final.
logistic_regression,Regressão Logística,ga,GA,"{""class_weight"": ""balanced"", ""log10_c"": -0.7529371143704051, ""penalty"": ""l2""}",0.9731659423904974,0.9705882352941178,0.9761904761904762,0.9761904761904762,0.9976851851851852,71,1,1,41,GA_B,evaluated_comparator,"GA B; mesmo resultado no holdout que a busca aleatória, sem reabrir seleção."
logistic_regression,Regressão Logística,random_search,Busca aleatória,"{""C"": 0.17678931080693083, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",0.9731659423904974,0.9705882352941178,0.9761904761904762,0.9761904761904762,0.9976851851851852,71,1,1,41,RandomizedSearchCV,global_selected,Vencedor global congelado antes do holdout e modelo para demonstração.
random_forest,Random Forest,baseline,Baseline,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9471382012918559,0.9411764705882353,0.9047619047619048,0.95,0.996031746031746,72,0,4,38,baseline_cv,evaluated_baseline,Referência original da família.
random_forest,Random Forest,ga,GA,"{""class_weight"": null, ""max_depth"": 7, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 107}",0.961648019213057,0.9588235294117646,0.9285714285714286,0.9629629629629629,0.9914021164021164,72,0,3,39,GA_C,family_selected,Vencedor da família por CV; reduziu um falso negativo no holdout.
random_forest,Random Forest,random_search,Busca aleatória,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""n_estimators"": 101}",0.9582479119763826,0.9588235294117646,0.9285714285714286,0.9629629629629629,0.9970238095238095,72,0,3,39,RandomizedSearchCV,evaluated_comparator,"Mesma matriz do GA no holdout, com ROC-AUC diferente."
knn,KNN,baseline,Baseline,"{""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",0.9329837120461287,0.9176470588235294,0.9047619047619048,0.9382716049382716,0.982308201058201,71,1,4,38,baseline_cv,evaluated_baseline,Referência original da família.
knn,KNN,ga,GA,"{""metric"": ""minkowski"", ""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.9539899923880164,0.9470588235294117,0.9047619047619048,0.95,0.9735449735449735,72,0,4,38,GA_A,family_selected,Vencedor serializado da família; ganho de recall em CV não se confirmou no holdout.
knn,KNN,random_search,Busca aleatória,"{""metric"": ""minkowski"", ""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.9539899923880164,0.9470588235294117,0.9047619047619048,0.95,0.9735449735449735,72,0,4,38,RandomizedSearchCV,evaluated_comparator,Solução canonicamente idêntica ao GA; não é evidência independente.
